Source,Target,Year,Weight,Keywords
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
6602995760,57193219896,2007,2,"['', '']"
6602995760,57193219896,2009,1,"['Bipolar disorder', 'Genetic isolate', 'Haplotypes', 'Linkage', 'Linkage disequilibrium']"
6602995760,57193219896,2017,1,"['interaction', 'rs1872824', 'rs6675281']"
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,35228119200,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35228119200,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35228119200,2013,2,"['Gaseous detectors', 'Muon spectrometers', 'Resistive-plate chambers', '']"
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
35228119200,7006790820,2007,1,['']
35228119200,7006790820,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
35228119200,7006790820,2009,3,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
35228119200,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
35228119200,7006790820,2013,1,['']
35228119200,7101600969,2007,1,['']
35228119200,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
35228119200,7101600969,2009,3,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
35228119200,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
35228119200,7101600969,2013,1,['']
35228119200,35240572900,2007,1,['']
35228119200,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
35228119200,35240572900,2009,3,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
35228119200,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
35228119200,35240572900,2013,1,['']
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,35240572900,2010,3,"['Optimization', 'Positron Emission Tomography', 'Resistive Plate Chambers', 'CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,35240572900,2013,1,['']
7006790820,35240572900,2014,2,"['', '']"
7006790820,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
7006790820,35240572900,2016,2,"['', '']"
7006790820,35240572900,2017,1,"['Acceleration', 'Co-processors', 'Hybrid architecture', 'Multithreading', 'Particle-matter interactions', 'Simulations']"
7006790820,35240572900,2012,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
35228119200,7101600969,2007,1,['']
35228119200,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
35228119200,7101600969,2009,3,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
35228119200,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
35228119200,7101600969,2013,1,['']
35228119200,35240572900,2007,1,['']
35228119200,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
35228119200,35240572900,2009,3,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
35228119200,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
35228119200,35240572900,2013,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7101600969,35240572900,2004,1,['']
7101600969,35240572900,2005,1,['']
7101600969,35240572900,2007,1,['']
7101600969,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7101600969,35240572900,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7101600969,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7101600969,35240572900,2013,1,['']
36143231500,7006790820,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7006790820,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7006790820,2013,1,['']
36143231500,7006790820,2014,2,"['', '']"
36143231500,7006790820,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,7006790820,2016,2,"['', '']"
36143231500,7101600969,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,7101600969,2013,1,['']
36143231500,35240572900,2007,1,"['CMS', 'MTCC', 'Resistive plate chambers']"
36143231500,35240572900,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
36143231500,35240572900,2013,1,['']
36143231500,35240572900,2014,2,"['', '']"
36143231500,35240572900,2015,1,"['Electron multipliers (gas)', 'Gaseous detectors', 'Particle tracking detectors', 'Particle tracking detectors (Gaseous detectors)']"
36143231500,35240572900,2016,2,"['', '']"
7006790820,7101600969,2007,1,['']
7006790820,7101600969,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
7006790820,7101600969,2009,4,"['CMS', 'Resistive plate chamber', 'RPC efficiency', 'RPC noise', 'Algorithm', 'CMS', 'Cosmic muon', 'RPC', 'Technical trigger', 'Tracking', 'CMS', 'Detector', 'Muon system', 'RPC', 'Trigger', 'CMS', 'MTCC', 'Resistive Plate Chamber', 'RPC']"
7006790820,7101600969,2010,2,"['CMS', 'Detectors', 'LHC', 'Muon system', 'RPC', 'RPC']"
7006790820,7101600969,2013,1,['']
7006790820,35240572900,2007,1,['']
7006790820,35240572900,2008,2,"['Avalanche mode', 'Bakelite resistivity', 'Closed loop gas circulation', 'CMS', 'Gas purification', 'Resistive Plate Chamber', 'Streamer mode', '']"
