Country,Source,Target,Year,Weight,Keywords
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,26663228500,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,11039653200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35351557000,2000,1,['']
Poland,8791901800,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35351557000,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,8791901800,35351557000,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,8791901800,35351557000,2008,1,['']
Poland,35228017800,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,35228017800,11039653200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,13002919700,35351557000,2000,1,['']
Poland,13002919700,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,11039653200,35351557000,2000,1,['']
Poland,11039653200,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,26663228500,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35227278200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35227278200,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,8791901800,35227278200,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,35228017800,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,13002919700,35227278200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,11039653200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,11039653200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35351557000,2000,1,['']
Poland,8791901800,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35351557000,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,8791901800,35351557000,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,8791901800,35351557000,2008,1,['']
Poland,35228017800,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,35228017800,11039653200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,13002919700,35351557000,2000,1,['']
Poland,13002919700,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,11039653200,35351557000,2000,1,['']
Poland,11039653200,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,26663228500,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,8791901800,1995,1,['']
Poland,6505572367,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,6505572367,8791901800,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,6505572367,8791901800,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,6505572367,8791901800,2008,1,['']
Poland,6505572367,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35227278200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35227278200,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,8791901800,35227278200,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,8791901800,35351557000,2000,1,['']
Poland,8791901800,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35351557000,2006,1,"['ATLAS', 'Barrel', 'LHC', 'Microstrip', 'Module', 'SCT', 'Silicon']"
Poland,8791901800,35351557000,2007,1,"['ATLAS', 'LHC', 'Microstrip', 'Module', 'SCT', 'Sensor', 'Silicon']"
Poland,8791901800,35351557000,2008,1,['']
Poland,35228017800,13002919700,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,13002919700,35227278200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,13002919700,35351557000,2000,1,['']
Poland,13002919700,35351557000,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,13002919700,35227278200,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,26663228500,8791901800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
Poland,8791901800,35228017800,2005,1,"['Application specific integrated circuits', 'Binary readout', 'Front-end electronics', 'Quality assurance', 'Radiation damage', 'Silicon strip detectors', 'Tracking detectors']"
